lambda,ER_4_mu_0.2,ER_6_mu_0.2,BA_4_mu_0.2,BA_6_mu_0.2,ER_4_mu_0.4,ER_6_mu_0.4,BA_4_mu_0.4,BA_6_mu_0.4
0.0,3.4028236692093934e-06,3.4028236692093934e-06,3.4028236692093934e-06,3.4028236692093934e-06,1.096847532018892e-06,1.096847532018892e-06,1.096847532018892e-06,1.096847532018892e-06
0.01,1.5764588400222993e-06,2.142004750707128e-06,2.970004107936816e-07,7.594953955569465e-07,5.339060296952355e-07,5.704009833048011e-07,8.119382794603328e-08,1.3849207638244907e-07
0.02,2.039621293318285e-06,4.522506596071684e-06,0.006940915108080359,0.053131944411719915,5.884959151934385e-07,8.310878902990844e-07,1.2304018181228074e-07,3.644174637282784e-07
0.03,4.496970795834081e-06,0.03916128706020209,0.06439368193271261,0.16280709082740633,6.903252736789579e-07,1.1854918534633295e-06,3.835659243429754e-07,0.005649238047682078
0.04,0.013307263056346805,0.21005133960552225,0.13510925829662673,0.26283323680554305,9.390360185299504e-07,2.0491376668247336e-06,0.006401833875528394,0.04884143500133322
0.05,0.12435394926217151,0.3273673994509086,0.20510568064482054,0.3441266201243234,1.2774629462061628e-06,6.119941126128611e-06,0.03020334361045403,0.09870281003397599
0.06,0.21637467882929592,0.41116572687711617,0.2682900285544156,0.4090263026325052,2.2138849383854846e-06,0.03626270716804882,0.05925968735688572,0.14925642639747486
0.07,0.28982250962212946,0.4737504343589746,0.3233753760885877,0.46126838129015496,5.403507752521665e-06,0.12281428046444824,0.09120108771500024,0.19701834822710876
0.08,0.3491316315194369,0.5221975104697676,0.3709331723008653,0.5039359740671863,0.012362569248831516,0.1942147395861383,0.12418780057533203,0.24059458898094005
0.09,0.39784028557907036,0.5607761065214432,0.412011465802137,0.5393104578858938,0.06555559181552716,0.2530777116622073,0.1568844807027708,0.2797294429829236
0.1,0.4384945486190186,0.5921980414530378,0.44765761606753335,0.5690473084300137,0.1156098806751408,0.3021159178793746,0.1884271664293409,0.31466589873426726
0.11,0.4729161665544589,0.6182646830612035,0.4787816070004973,0.5943547979687059,0.1607188815341673,0.3434641813412146,0.2183395930601556,0.3458241261804456
0.12,0.5024259243516054,0.640218587876252,0.5061363394143062,0.6161272950046622,0.2009635931039007,0.37872808296144106,0.24641290012975656,0.37365646491118043
0.13,0.5279995361600465,0.6589445170604483,0.5303337996572075,0.6350375133214209,0.2368406643020329,0.40911361825215464,0.2726029131043905,0.39858825432209144
0.14,0.5503709350479509,0.6750896686594106,0.5518694658741753,0.6515996226680048,0.2689068108874452,0.4355357345646807,0.29695804131744763,0.42099787702104347
0.15,0.5701020500157019,0.6891385239554696,0.5711453026857598,0.6662127740342081,0.2976750788342223,0.4586972265183386,0.31957476075677244,0.44121326435756864
0.16,0.5876301413148249,0.7014610764567896,0.5884890077451737,0.6791910769780293,0.32359167448662257,0.4791457694759284,0.3405713114842858,0.4595152974164549
0.17,0.603300491995681,0.7123448473097296,0.604169480955793,0.6907849006476094,0.3470364607095239,0.4973136501327948,0.3600726188285862,0.4761433243569922
0.18,0.6173893948932104,0.7220167357931414,0.6184089180619731,0.7011962789606677,0.36833045134363895,0.5135463918164117,0.37820191229383443,0.49130131865519877
0.19,0.6301206390067613,0.7306582371306056,0.6313921606756637,0.7105898365428484,0.3877445697695034,0.5281233186467266,0.3950762942882067,0.5051632002576268
0.2,0.6416860814993286,0.7384163114761053,0.6432740893805197,0.7191011720551647,0.40550798904470536,0.541272623767625,0.4108046380154493,0.5178777539396908
0.21,0.6523058427547551,0.7454112550535112,0.6541853523054302,0.7268428448969421,0.42181511390462184,0.5531825327550204,0.42548674840967793,0.5295726753023191
0.22,0.6620286332484555,0.7517425110479891,0.6642367846484667,0.7339091254120312,0.43683160489177997,0.5640096847340392,0.43921344772741533,0.5403579767673363
0.23,0.6709535119536366,0.7574930209239089,0.6735231004312052,0.7403795417219431,0.45069932105665894,0.5738854817785861,0.45206687013621344,0.5503288128135886
0.24,0.6791710258263952,0.7627325271747831,0.6821255843387999,0.7463216493400062,0.4635402670522189,0.5829210009078437,0.4641211224948795,0.5595678169082846
0.25,0.6867587007291479,0.7675201112718641,0.6901144343442704,0.7517932204238796,0.47545987339668955,0.591210766858943,0.4754429466885522,0.5681470350128229
0.26,0.6937830605913814,0.7719061660177272,0.6975505471838671,0.7568438835799133,0.4865496705113207,0.5988357485098657,0.48609245889503816,0.5761295382722762
0.27,0.7003015321003145,0.7759339442932114,0.7044870666882839,0.7615165980249636,0.496889483124316,0.6058656985235477,0.4961237686649457,0.5835707067674436
0.28,0.7063639558462882,0.7796407868257033,0.7109705043242504,0.7658487014769182,0.5065492224127786,0.6123610492322772,0.505585650280375,0.5905194110424816
0.29,0.7120138079969874,0.7830591041170691,0.717041732516339,0.7698727570380838,0.5155903762305617,0.6183744136096705,0.5145221178202991,0.5970188696207885
0.3,0.7172891921609212,0.7862171682002508,0.7227368869527315,0.7736173743306792,0.5240672296058456,0.6239518250909496,0.5229729128214419,0.6031074638010159
